#,单词,音标,解释,笔记
465,double,英:/'dʌb(ə)l/ 美:/'dʌbl/,n. 两倍；[计]双精度型 adj. 两倍的；双重的,
466,doubt,英:/daʊt/ 美:/daʊt/,n. 怀疑；疑问；疑惑 v. 怀疑；不信；[古]恐怕；拿不准,
467,down,英:/daʊn/ 美:/daʊn/,adv. 向下，下去；在下面 adj. 向下的,
468,draw,英:/drɔː/ 美:/drɔː/,vt. 画；拉；吸引 vi. 拉；拖,
469,drawer,英:/drɔː(r)/ 美:/drɔːr/,n. 抽屉；开票人；出票人；起草者；酒馆侍,
470,dream,英:/driːm/ 美:/driːm/,vi. 做梦，梦见；梦想；想到 n. 梦；梦想，愿望,
471,dress,英:/dres/ 美:/drɛs/,vt. 给…穿衣 vi. 穿衣,
472,drink,英:/drɪŋk/ 美:/drɪŋk/,vt. 喝，饮；吸收；举杯庆贺 vi. 喝酒；饮水；干杯,
473,drive,英:/draɪv/ 美:/draɪv/,vi. 开车；猛击；飞跑 vt. 驾驶（马车，汽车等）；驱赶；推动，发动（机器等）,
474,drop,英:/drɒp/ 美:/drɑːp/,vt. 滴；使降低；随口漏出；使终止 vi. 终止；下降,
475,drug,英:/drʌɡ/ 美:/drʌɡ/,n. 毒品；药；滞销货；麻醉药 vt. 使服麻醉药；使服毒品；掺麻醉药于,
476,drum,英:/drʌm/ 美:/drʌm/,vt. 击鼓；大力争取 vi. 击鼓；大力争取,
477,drunk,英:/drʌŋk/ 美:/drʌŋk/,v. 喝酒（drink的过去分词） adj. 喝醉了的,
478,dry,英:/draɪ/ 美:/draɪ/,adj. 干的；口渴的；禁酒的；枯燥无味的 vt. 把…弄干,
479,duck,英:/dʌk/ 美:/dʌk/,n. 鸭子；鸭肉；（英）宝贝儿；[版]零分 vi. 闪避；没入水中,
480,dull,英:/dʌl/ 美:/dʌl/,adj. 钝的；呆滞的；阴暗的；迟钝的；无趣的 vt. 使阴暗；缓和；使迟钝,
481,during,英:/'djʊərɪŋ/ 美:/'dʊrɪŋ/,prep. 在…的时候，在…的期间,
482,dust,英:/dʌst/ 美:/dʌst/,n. 灰尘；尘埃；尘土 vt. 拂去灰尘；撒,
483,duty,英:/ˈdjuːti/ 美:/ˈduːti/,n. 责任；职务；关税,
484,each,英:/iːtʃ/ 美:/itʃ/,adj. 每；各自的 adv. 每个；各自,
485,eager,英:/ˈiːɡə(r)/ 美:/ˈiːɡər/,adj. 渴望的；热心的；热切的,
486,ear,英:/ɪə/ 美:/ɪr/,n. 耳朵；听觉；倾听；穗 vi. （美俚）听见；抽穗,
487,early,英:/ˈə:li/ 美:/ˈɚli/,adj. 早期的；早熟的 adv. 提早；在初期,
488,earn,英:/ɜːn/ 美:/ɜːrn/,vt. 获得，挣得；赚，赚得；博得；使得到,
489,earth,英:/ɜːθ/ 美:/ɝθ/,n. 地球；泥土；地线；尘世；陆地,
490,east,英:/iːst/ 美:/ist/,n. 东方；东方国家；东风 adj. 东方的；向东的；从东方来的,
491,eastern,英:/'iːst(ə)n/ 美:/'istɚn/,adj. 东方的；朝东的；东洋的 n. 东方人；（美国）东部地区的人,
492,easy,英:/'iːzɪ/ 美:/'izi/,adj. 容易的；舒适的 adv. 不费力地，从容地,
493,economic,英:/ˌiːkəˈnɒmɪk/ 美:/ˌiːkəˈnɑːmɪk/,adj. 经济的，经济上的；经济学的,
494,edge,英:/edʒ/ 美:/edʒ/,n. 边缘；刀刃；优势；锋利 vt. 使锐利；将…开刃；给…加上边,
495,educate,英:/ˈedʒukeɪt/ 美:/ˈedʒukeɪt/,vt. 教育；培养；训练 vi. 教育；训练,
496,educated,英:/'edjʊkeɪtɪd/ 美:/'ɛdʒə'ketɪd/,adj. 有教养的；受过教育的 v. 教导；训练；培育（educate的过去分词形式）,
497,education,英:/edjʊ'keɪʃ(ə)n/ 美:/ˌɛdʒu'keʃən/,"n. 教育; 培养, 训练",
498,effective,英:/ɪˈfektɪv/ 美:/ɪˈfektɪv/,"adj. 有效的; 生效的 事实上的, 实际的 给人印象深刻的",
499,effort,英:/ˈefət/ 美:/ˈefərt/,n. 成就；努力,
500,egg,英:/eg/ 美:/ɛɡ/,n. 蛋；卵子；[俚]家伙 vt. 煽动；怂恿,
501,eight,英:/eɪt/ 美:/eɪt/,num. 八个；八；第八 adj. 八的,
502,either,英:/'aɪðə/ 美:/'iðɚ/,adj. 两者之中任一的；两者之中每一的 prep. 任何一个,
503,elbow,英:/ˈelbəʊ/ 美:/ˈelboʊ/,n. 弯头；肘部；扶手 vt. 推挤；用手肘推开,
504,elect,英:/ɪˈlekt/ 美:/ɪˈlekt/,adj. 选出的；当选的；卓越的 n. 被选的人；特殊阶层；上帝的选民,
505,election,英:/ɪˈlekʃn/ 美:/ɪˈlekʃn/,n. 选举；当选；选择权；[宗]上帝的选拔,
506,electric,英:/ɪˈlektrɪk/ 美:/ɪˈlektrɪk/,adj. 电的；导电的；电动的；发电的；令人震惊的 n. [美口]电气车辆；电；带电体,
507,electricity,英:/ɪˌlekˈtrɪsəti/ 美:/ɪˌlekˈtrɪsəti/,"n. 电, 电流 热情, 紧张情绪",
508,electronic,英:/ɪˌlekˈtrɒnɪk/ 美:/ɪˌlekˈtrɑːnɪk/,adj. 电子的；电子学的,
509,else,英:/els/ 美:/ɛls/,adv. 另外；其他；否则 adj. 别的；其他的,
510,email,/'i:'meil/,vt. 发电子邮件；给……发电子邮件 n. 电子邮件，电子信函,
511,embarrass,英:/ɪmˈbærəs/ 美:/ɪmˈbærəs/,vt. 使窘迫；使尴尬；使为难 vi. 窘迫,
512,embarrassing,英:/ɪmˈbærəsɪŋ/ 美:/ɪm'bærəsɪŋ/,adj. 令人为难的；尴尬的,
513,emotion,英:/ɪˈməʊʃn/ 美:/ɪˈmoʊʃn/,n. 情感；情绪,
514,emphasize,英:/ˈemfəsaɪz/ 美:/ˈemfəsaɪz/,vt. 强调; 加强语气; 重读,
515,employ,英:/ɪmˈplɔɪ/ 美:/ɪmˈplɔɪ/,v. 雇佣；使用,
516,employer,英:/ɪmˈplɔɪə(r)/ 美:/ɪmˈplɔɪər/,n. 雇主，老板,
517,employment,英:/ɪmˈplɔɪmənt/ 美:/ɪmˈplɔɪmənt/,"n. 雇用, 就业 职业, 工作 使用, 运用 有益的活动",
518,empty,英:/ˈempti/ 美:/ˈempti/,adj. 空的；无意义的；徒劳的；无知的 vt. 使…成为空的；使失去,
519,enable,英:/ɪˈneɪbl/ 美:/ɪˈneɪbl/,vt. 使能够，使成为可能；授予权利或方法,
520,enclose,英:/ɪnˈkləʊz/ 美:/ɪnˈkloʊz/,vt. 围绕；装入；放入封套,
521,encourage,英:/ɪnˈkʌrɪdʒ/ 美:/ɪnˈkɜːrɪdʒ/,"vt. 鼓励, 激励 促进, 助长, 激发",
522,end,英:/end/ 美:/end/,n. 结束；末端；目标；死亡；尽头 vi. 结束，终止；终结,
523,enemy,英:/ˈenəmi/ 美:/ˈenəmi/,n. 敌人，仇敌；敌军 adj. 敌人的，敌方的,
524,energy,英:/ˈenədʒi/ 美:/ˈenərdʒi/,n. 精力；能量；活力；精神,
525,engineer,英:/ˌendʒɪˈnɪə(r)/ 美:/ˌendʒɪˈnɪr/,n. 工程师；工兵；火车司机 vt. 策划；设计；精明地处理,
526,enjoy,英:/ɪn'dʒɒɪ/ 美:/ɪn'dʒɔɪ/,vt. 喜爱；欣赏，享受；使过得快活,
527,enjoyable,英:/ɪnˈdʒɔɪəbl/ 美:/ɪnˈdʒɔɪəbl/,"adj. 愉快的,快乐的 adv. 愉快地,快乐地",
528,enjoyment,英:/ɪnˈdʒɔɪmənt/ 美:/ɪnˈdʒɔɪmənt/,"n. 愉快,欢乐,满意;令人愉快的事物",
529,enough,英:/ɪ'nʌf/ 美:/ɪ'nʌf/,adv. 足够地，充足地 n. 充足；很多,
530,enter,英:/'entə/ 美:/'ɛntɚ/,vt. 进入；开始；参加 vi. 进去；[戏]参加，登场,
531,entertain,英:/ˌentəˈteɪn/ 美:/ˌentərˈteɪn/,v. 娱乐；使有兴趣；招待；考虑；抱有；容纳,
532,entertainment,英:/ˌentəˈteɪnmənt/ 美:/ˌentərˈteɪnmənt/,n. 娱乐节目，娱乐活动；招待,
533,entrance,英:/ˈentrəns/ 美:/ˈentrəns/,n. 入口；进入 vt. 使出神，使入迷,
534,envelope,英:/ˈenvələʊp/ 美:/ˈenvəloʊp/,n. 信封，封皮；[生]包膜；[天]包层；[数]包迹,
535,environment,英:/ɪnˈvaɪrənmənt/ 美:/ɪnˈvaɪrənmənt/,"n. 环境, 周围状况, 自然环境",
536,equal,英:/ˈiːkwəl/ 美:/ˈiːkwəl/,adj. 相等的；胜任的；平等的 vt. 等于；比得上,
537,equipment,英:/ɪˈkwɪpmənt/ 美:/ɪˈkwɪpmənt/,"n. 设备; 装备; 配备 (工作必需的)知识, 技能",
538,escape,英:/ɪˈskeɪp/ 美:/ɪˈskeɪp/,vt. 逃避，避免；被忘掉 vi. 逃脱；避开；溜走,
539,especially,英:/ɪ'speʃ(ə)lɪ/ 美:/ɪ'spɛʃəli/,"adv. 尤其, 特别",
540,establish,英:/ɪˈstæblɪʃ/ 美:/ɪˈstæblɪʃ/,"vt. 建立, 成立 安置 确定, 证实",
541,etc,,adv. 等等，及其他,
542,even,英:/'iːv(ə)n/ 美:/'ivən/,adv. 甚至；正当；更；恰好 adj. 平坦的；平和的；偶数的；相等的 v. 使平坦；相等,
543,evening,英:/'iːv(ə)nɪŋ/ 美:/'ivnɪŋ/,n. 傍晚；晚上；后期；（联欢性的）晚会 adj. 在晚上的；为晚上的；晚上用的,
544,everyone,英:/'evrɪwʌn/ 美:/'ɛvrɪwʌn/,pron. 人人；每个人 n. 每个人,
545,everything,英:/'evrɪθɪŋ/ 美:/'ɛvrɪ'θɪŋ/,pron. 每件事，一切,
546,everywhere,英:/'evrɪweə/ 美:/'ɛvrɪwɛr/,"adv. 处处, 到处",
547,evil,英:/ˈiːvl/ 美:/ˈiːvl/,adj. 邪恶的；有害的；不幸的；讨厌的 n. 罪恶，邪恶；不幸,
548,exact,英:/ɪɡˈzækt/ 美:/ɪɡˈzækt/,adj. 精确的；准确的，精密的 vt. 强求；要求；急需,
549,examination,"英:/ɪg,zæmɪ'neɪʃ(ə)n/ 美:/ɪg'zæmə'neʃən/","n. 检查, 调查 考试; 考查; 试题 讯问",
550,examine,英:/ɪɡˈzæmɪn/ 美:/ɪɡˈzæmɪn/,vt. 调查；考试；检查；[计算机] 检测 vi. 检查；调查,
551,example,英:/ɪg'zɑːmp(ə)l/ 美:/ɪg'zæmpl/,n. 例子；榜样 vt. 作为…的例子；为…做出榜样,
552,excellent,英:/ˈeksələnt/ 美:/ˈeksələnt/,"adj. 优秀的, 卓越的, 杰出的",
553,except,英:/ɪk'sept/ 美:/ɪk'sɛpt/,"vt. 把…除外; 免除 prep. 除…外 EXCEPT“禁”门,“与非”门",
554,exchange,英:/ɪksˈtʃeɪndʒ/ 美:/ɪksˈtʃeɪndʒ/,n. 交换；兑换；交易所；交流 vt. 交换；交易；兑换,
555,excite,英:/ɪkˈsaɪt/ 美:/ɪkˈsaɪt/,vt. 刺激…，使…兴奋；激起 vi. 激动,
556,exciting,英:/ɪk'saɪtɪŋ/ 美:/ɪk'saɪtɪŋ/,adj. 使人激动的；令人兴奋的 v. 激动；唤起；刺激（excite的ing形式）,
557,exercise,英:/'eksəsaɪz/ 美:/'ɛksɚsaɪz/,n. 练习；运动；运用；操练；典礼；礼拜 vt. 练习；锻炼；使用；使忙碌；使惊恐,
558,existence,英:/ɪɡˈzɪstəns/ 美:/ɪɡˈzɪstəns/,"n. 存在 生存, 生活(方式)",
559,expect,英:/ɪkˈspekt/ 美:/ɪkˈspekt/,v. 预期；期待；盼望,
560,expensive,英:/ɪk'spensɪv/ 美:/ɪk'spɛnsɪv/,"adj. 昂贵的, 花钱多的",
561,experience,英:/ɪk'spɪərɪəns/ 美:/ɪk'spɪrɪəns/,n. 经验；经历 v. 经历；体验；感受,
562,explain,英:/ɪk'spleɪn/ 美:/ɪk'splen/,v. 说明，解释,
563,explanation,英:/ˌekspləˈneɪʃn/ 美:/ˌekspləˈneɪʃn/,"n. 解释, 说明 能说明某事缘由的言语、事实、情况等",
564,explode,英:/ɪkˈspləʊd/ 美:/ɪkˈsploʊd/,vi. 爆炸，爆发；激增 vt. 使爆炸；爆炸；推翻,
565,explosive,英:/ɪkˈspləʊsɪv/ 美:/ɪkˈsploʊsɪv/,"adj. 爆炸的, 爆发的 极易引起争论的 n. 爆炸物, 炸药",
566,express,英:/ɪkˈspres/ 美:/ɪkˈspres/,v.  表示；表露；表达（自己的思想感情）；【数】（用符号等）表示，代表；【美式】快递邮寄（或发送） n. 特快列车；【英式】快件服务；快递服务；快运服务 adj. 特快的；快速的；快递的；（愿望或目的）明确的；明白表示的 adv.  用快递方式,
567,expression,英:/ɪkˈspreʃn/ 美:/ɪkˈspreʃn/,n. 表示；表达；表露；表情；神色；词语；措辞；表达方式；（演奏乐曲、说话、表演等时流露的）感情，表情；【数】式；表达式,
568,extra,英:/ˈekstrə/ 美:/ˈekstrə/,adv. 特别地，非常；另外 n. 额外的事物；临时演员；号外；上等产品,
569,extreme,英:/ɪkˈstriːm/ 美:/ɪkˈstriːm/,adj. 极端的；极度的；偏激的；尽头的 n. 极端；末端；最大程度；极端的事物,
570,extremely,英:/ɪkˈstriːmli/ 美:/ɪkˈstriːmli/,adv. 极端;极其;非常,
571,eye,英:/aɪ/ 美:/aɪ/,n. 眼睛；视力；见解，观点；眼光 vt. 注视，看,
572,fact,英:/fækt/ 美:/fækt/,n. 事实；实际；真相,
573,factory,英:/ˈfæktri/ 美:/ˈfæktri/,n. 工厂；制造厂；代理店,
574,fail,英:/feɪl/ 美:/fel/,vi. 失败，不及格；衰退；缺乏；破产 vt. 不及格；忘记；使失望；舍弃,
575,fair,英:/feə(r)/ 美:/fer/,adj. 公平的；美丽的，白皙的；晴朗的 adv. 公平地；清楚地；直接地,
576,fairly,英:/ˈfeəli/ 美:/ˈferli/,adv. 公平地；相当地；简直,
577,faith,英:/feɪθ/ 美:/feɪθ/,n. 信心；信任；相信；宗教信仰,
578,faithful,英:/ˈfeɪθfl/ 美:/ˈfeɪθfl/,adj. 忠实的，忠诚的；如实的；准确可靠的,
579,fall,英:/fɔːl/ 美:/fɔːl/,vi. 落下；变成；来临；减弱 n. 秋天；瀑布；下降,
580,FALSE,英:/fɔːls/ 美:/fɔːls/,adj. 伪造的；错误的；虚伪的 adv. 欺诈地,
581,familiar,英:/fəˈmɪliə(r)/ 美:/fəˈmɪliər/,adj. 熟悉的；常见的；亲近的 n. 常客；密友,
582,family,英:/'fæməli/ 美:/ˈfæməli/,n. 家庭；家族；家属；亲属；子女；僚属 adj. 家庭的，家族的,
583,famous,英:/'feɪməs/ 美:/ˈfeɪməs/,adj. 著名的；[口]极好的，非常令人满意的,
584,far,英:/fɑː/ 美:/fɑr/,adv. 很；到很远的距离；遥远地；到很深的程度；久远地 adj. 远的；久远的,
585,farm,英:/fɑːm/ 美:/fɑrm/,vi. 种田，务农；经营农场 n. 农场；畜牧场；农家,
586,farmer,英:/ˈfɑːmə(r)/ 美:/ˈfɑːrmər/,n. 农夫，农民,
587,fashion,英:/ˈfæʃn/ 美:/ˈfæʃn/,n. 样式；时尚；时装；时髦人物 vt. 做成…的形状；使用；改变,
588,fashionable,英:/ˈfæʃnəbl/ 美:/ˈfæʃnəbl/,"adj. 流行的, 符合时尚的, 时髦的",
589,fast,英:/fɑːst/ 美:/fæst/,adj. 快速的，迅速的；紧的，稳固的 adv. 紧紧地；彻底地；迅速地,
590,fasten,英:/ˈfɑːsn/ 美:/ˈfæsn/,vt. 扎牢；使固定；集中于；强加于 vi. 扣紧；抓住；集中注意力,
591,fat,英:/fæt/ 美:/fæt/,adj. 肥的，胖的；丰满的；油腻的 n. 脂肪，肥肉,
592,father,英:/'fɑːðə/ 美:/'fɑðɚ/,n. 父亲，爸爸；神父；祖先；前辈 vt. 发明，创立；当…的父亲,
593,fault,英:/fɔːlt/ 美:/fɔːlt/,n. 故障；毛病；缺点；错误；[地]断层；（网球等）发球失误 vi. 弄错；[地]产生断层,
594,favorable,英:/ˈfeɪvərəbəl/ 美:/ˈfevərəbl/,adj. 有利的；顺利的；良好的；赞同的,
595,favorite,英:/ˈfeɪvərɪt/ 美:/ˈfeɪvərɪt/,adj. 特别受喜爱的 n. 特别喜爱的人（或事物）；受宠的人，得到偏爱的人，宠儿，亲信；（比赛中）被认为最有希望的获胜者；（取得职位等的）最有希望者,
596,fear,英:/fɪə/ 美:/fɪr/,n. 害怕；担心；恐惧；敬畏 vt. 害怕；敬畏；为…担心,
597,feather,英:/ˈfeðə(r)/ 美:/ˈfeðər/,n. 羽毛 vt. 用羽毛装饰,
598,feature,英:/ˈfiːtʃə(r)/ 美:/ˈfiːtʃər/,n. 容貌；特色，特征；特写或专题节目 vi. 起重要作用,
599,feed,英:/fiːd/ 美:/fid/,vt. 喂养；放牧；供给；抚养（家庭等）；靠…为生 vi. 吃东西；流入,
600,feel,英:/fiːl/ 美:/fil/,vt. 感觉；试探；触摸；认为 vi. 觉得；摸索,
601,feeling,英:/'fiːlɪŋ/ 美:/'filɪŋ/,n. 感觉，触觉；感情，情绪；同情 adj. 有同情心的；富于感情的；有感觉的,
602,female,英:/ˈfiːmeɪl/ 美:/ˈfiːmeɪl/,adj. 女性的；雌性的；柔弱的，柔和的 n. 女人；雌性动物,
603,fence,英:/fens/ 美:/fens/,n. 栅栏；围墙；剑术 vt. 防护；用篱笆围住；练习剑术,
604,fever,英:/ˈfiːvə(r)/ 美:/ˈfiːvər/,n. 发烧，发热；狂热 vt. 使发烧；使狂热；使患热病,
605,few,英:/fjuː/ 美:/fju/,adj. 很少的；几乎没有的 pron. 很少,
606,field,英:/fiːld/ 美:/fiːld/,n. 田；地；牧场，学科；界；领域，运动场 v. 组织参加；处理，应付（问题或意见）,
607,fight,英:/faɪt/ 美:/faɪt/,vi. 打架；打仗；搏斗，斗争 vt. 打架；与…打仗，与…斗争；反对…提案,
608,figure,英:/ˈfɪɡə(r)/ 美:/ˈfɪɡjər/,n. 图形；数字；（人的）体形；人物；画像；价格 vi. 出现；计算；扮演角色,
609,fill,英:/fɪl/ 美:/fɪl/,vt. 装满，使充满；满足；堵塞；任职 vi. 被充满，膨胀,
610,film,英:/fɪlm/ 美:/fɪlm/,n. 胶卷；电影；薄膜；轻烟 vt. 在…上覆以薄膜；把…拍成电影,
611,final,英:/ˈfaɪnl/ 美:/ˈfaɪnl/,adj. 最终的；决定性的；不可更改的 n. 决赛；期末考试；当日报纸的末版,
612,finally,英:/ˈfaɪnəli/ 美:/ˈfaɪnəli/,adv. 终于；最后；决定性地,
613,financial,英:/faɪˈnænʃl/ 美:/faɪˈnænʃl/,"adj. 财政的, 金融的",
614,find,英:/faɪnd/ 美:/faɪnd/,vt. 发现；认为；感到；获得 vi. 裁决,
615,fine,英:/faɪn/ 美:/faɪn/,adj. 好的；优良的；晴朗的；健康的；细小的，精美的 n. 罚款,
616,finger,英:/'fɪŋgə/ 美:/'fɪŋɡɚ/,n. 手指；指针，指状物 vt. 用手指拨弄；伸出,
617,finish,英:/ˈfɪnɪʃ/ 美:/ˈfɪnɪʃ/,vt. 完成；结束；用完 vi. 结束，终止；完成；终结,
618,firm,英:/fɜːm/ 美:/fɜːrm/,adj. 坚定的；结实的；牢固的；严格的 vt. 使牢固；使坚定,
619,first,英:/fɜːst/ 美:/fɝst/,adv. 第一；首先；优先；宁愿 n. 第一；开始；冠军,
620,fish,英:/fɪʃ/ 美:/fɪʃ/,vi. 捕鱼，钓鱼；用钩捞取 n. 鱼，鱼类,
621,fit,英:/fɪt/ 美:/fɪt/,vt. 安装；使……适应；使……合身；与……相符 vi. 适合；合身；符合，配合,
622,five,英:/faɪv/ 美:/faɪv/,n. 五，五个；[口]五美元钞票 num. 五，五个,
623,fix,英:/fɪks/ 美:/fɪks/,vt. 安装；修理；使固定；准备 vi. 固定；注视,
624,flag,英:/flæɡ/ 美:/flæɡ/,n. 旗帜，国旗；（体育运动的）信号旗，标志旗 v. 标示；疲乏，减弱；热情衰退；引起对……的注意；挥旗指示走某个方向,
625,flame,英:/fleɪm/ 美:/fleɪm/,n. 火焰；热情；光辉 v. 泛红；焚烧,
626,flash,英:/flæʃ/ 美:/flæʃ/,vt. 使闪光；反射 n. 闪光，闪现；一瞬间,
627,flat,英:/flæt/ 美:/flæt/,adj. 平坦的；单调的；浅的；扁平的 adv. 断然地；平直地,
628,flesh,英:/fleʃ/ 美:/fleʃ/,n. （人或动物的）肉；果肉；蔬菜的可食部分；（人体的）皮肤；肉体，肉欲（the flesh） v. 充实（计划、论据等的内容）,
629,flight,英:/flaɪt/ 美:/flaɪt/,n. 飞行；班机；逃走 vt. 使惊飞；射击,
630,float,英:/fləʊt/ 美:/floʊt/,vt. 使漂浮；实行 vi. 浮动；摇摆；飘动，散播；付诸实施,
631,flood,英:/flʌd/ 美:/flʌd/,v. 淹没；充满 n. 洪水,
632,floor,英:/flɔː/ 美:/flɔr/,n. 地板，地面；楼层；基底；议员席 vt. 铺地板；打倒，击倒；（被困难）难倒,
633,flour,英:/ˈflaʊə(r)/ 美:/ˈflaʊər/,n. （尤指小麦的）面粉；（谷物磨成的）粉 v. 在…上撒（或覆以）面粉,
634,flow,英:/fləʊ/ 美:/floʊ/,vi. 流动，涌流；飘扬；川流不息 vt. 淹没，溢过,
635,flower,英:/'flaʊə/ 美:/'flaʊɚ/,n. 花；精华；开花植物 vi. 开花；成熟，发育；繁荣；旺盛,
636,fold,英:/fəʊld/ 美:/foʊld/,vt. 折叠；合拢；抱住；笼罩 n. 折痕；羊栏；信徒,
637,fly,英:/flaɪ/ 美:/flaɪ/,vi. 飞；飘扬；驾驶飞机 vt. 飞行；使飘扬；飞越,
638,follow,英:/ˈfɒləʊ/ 美:/ˈfɑːloʊ/,vt. 跟随；追求；遵循；密切注意 vi. 跟随；接着,
639,food,英:/fuːd/ 美:/fud/,n. 食物；养料,
640,foot,英:/fʊt/ 美:/fʊt/,n. 脚；英尺；末尾；步调 vi. 步行；跳舞；总计,
641,football,英:/'fʊtbɔːl/ 美:/'fʊtbɔl/,n. 足球，橄榄球 vi. 踢足球；打橄榄球,
642,force,英:/fɔːs/ 美:/fɔːrs/,n. 武力；暴力；力量；影响力；力量大的人或（事物）；权力；（为某目的组织起来的）一群人；军队；部队；武装力量；警察部门；力；风力 v. 迫使；强迫；强制；使发生；强装（欢笑）；人工催长,
643,foreign,英:/ˈfɒrən/ 美:/ˈfɔːrən/,adj. 外国的；[医]异质的；不相关的；外交的,
644,foreigner,英:/'fɒrɪnə/ 美:/'fɔrənɚ/,n. 外国人；外人,
645,forest,英:/'fɒrɪst/ 美:/'fɔrɪst/,vt. 植树于，使成为森林 n. 森林,
646,forget,英:/fə'get/ 美:/fɚ'ɡɛt/,vt. 忘记；忽略 vi. 忘记,
647,forgive,英:/fəˈɡɪv/ 美:/fərˈɡɪv/,vt. 原谅；免除（债务、义务等） vi. 表示原谅,
648,fork,英:/fɔːk/ 美:/fɔrk/,n. 餐叉；叉；耙 vt. 叉起；使成叉状,
649,formal,英:/ˈfɔːml/ 美:/ˈfɔːrml/,adj. 正式的；拘谨的；有条理的 n. 正式的社交活动；夜礼服,
650,fortunate,英:/ˈfɔːtʃənət/ 美:/ˈfɔːrtʃənət/,"adj. 交好运的, 带来好运的; 幸运的",
651,four,英:/fɔː/ 美:/fɔr/,num. 四；四个 adj. 四的；四个的,
652,frame,英:/freɪm/ 美:/freɪm/,n. 框架；结构；画面 vt. 设计；陷害；建造；使…适合,
653,free,英:/friː/ 美:/friː/,adj. 自由的，不受约束的；免费的；游离的 vt. 使自由，解放；释放,
654,freedom,英:/ˈfriːdəm/ 美:/ˈfriːdəm/,n. 自由，自主；直率,
655,freeze,英:/friːz/ 美:/friːz/,vi. 僵硬；冻结；冷冻 vt. 使…冻住；使…结冰,
656,frequent,英:/ˈfriːkwənt/ 美:/ˈfriːkwənt/,adj. 时常发生的；频繁的；惯常的 vt. 常到，常去；时常出入于,
657,fresh,英:/freʃ/ 美:/frɛʃ/,adj. 新鲜的；无经验的；淡水的；清新的 n. 泛滥；开始；新生,
658,friend,英:/frend/ 美:/frend/,n. 朋友；赞助者；助手,
659,friendly,英:/'fren(d)lɪ/ 美:/'frɛndli/,adj. 友好的；亲切的；支持的；融洽的，和睦的 adv. 温和地；友善地,
660,frighten,英:/ˈfraɪtn/ 美:/ˈfraɪtn/,vt. 使惊吓；吓唬… vi. 害怕，惊恐,
661,frightening,英:/ˈfraɪtnɪŋ/ 美:/ˈfraɪtnɪŋ/,adj. 令人恐惧的；令人害怕的,
662,from,英:/frɒm/ 美:/frʌm/,prep. 来自，从；今后；由于,
663,front,英:/frʌnt/ 美:/frʌnt/,n. 前面；前线；正面 vt. 面对；朝向；对付,
664,fruit,英:/fruːt/ 美:/frut/,n. 水果；产物 vi. 结果实,
665,full,英:/fʊl/ 美:/fʊl/,adj. 完全的，完整的；满的，充满的；丰满的；丰富的；详尽的；完美的 adv. 完全地；十分，非常；整整,
666,fun,英:/fʌn/ 美:/fʌn/,n. 乐趣；玩笑；有趣的人或事 adj. 供娱乐用的,
667,fur,英:/fɜː(r)/ 美:/fɜːr/,n. 毛皮；皮，皮子；软毛 vt. 用毛皮覆盖；使穿毛皮服装,
668,furniture,英:/ˈfɜːnɪtʃə(r)/ 美:/ˈfɜːrnɪtʃər/,n. 家具；设备，装置；床罩；必要的附属品；【会计】家俬,
669,further,英:/ˈfɜːðə(r)/ 美:/ˈfɜːrðər/,adv. 更远地；进一步地；而且 adj. 更远的；深一层的,
670,future,英:/'fjuːtʃə/ 美:/'fjʊtʃɚ/,n. 未来；期货；前途；将来时 adj. 将来的，未来的,
671,gain,英:/ɡeɪn/ 美:/ɡeɪn/,n. 收获；增加；利润 vt. 获得；增加；赚到,
672,game,英:/geɪm/ 美:/ɡem/,n. 游戏；比赛 adj. 勇敢的,
673,garage,英:/ˈɡærɑːʒ/ 美:/ɡəˈrɑːʒ/,n. 车库；汽车修理厂；飞机库 vt. 把……送入车库,
674,garden,英:/ˈɡɑ:dn/ 美:/ˈɡɑrdn/,n. 菜园；花园 vt. 栽培花木,
675,gas,英:/ɡæs/ 美:/ɡæs/,n. 气体；汽油；毒气；瓦斯 vt. 毒（死）；加油,
676,gate,英:/ɡeɪt/ 美:/ɡeɪt/,n. 大门；出入口；门道 vt. 给…装大门,
677,gather,英:/ˈɡæðə(r)/ 美:/ˈɡæðər/,vt. 收集；使…聚集；收割；使…皱起 vi. 聚集；化脓；皱起,
678,general,英:/ˈdʒenərəl/ 美:/ˈdʒenərəl/,adj. 一般的，普通的；综合的；大体的 n. 将军，上将；一般；常规,
679,generally,英:/ˈdʒenrəli/ 美:/ˈdʒenrəli/,adv. 一般地；通常；普遍地,
680,generous,英:/ˈdʒenərəs/ 美:/ˈdʒenərəs/,adj. 慷慨的，大方的；宽宏大量的；有雅量的,
681,gentle,英:/ˈdʒentl/ 美:/ˈdʒentl/,adj. 温和的；文雅的 vt. 使温和，使驯服,
682,get,英:/ɡet/ 美:/ɡet/,v. 获得，得到；买到；挣得，赢得；收到，接到；（去）拿来，取来，叫来；捕获；抓获；到达，抵达；达到（某个阶段或者时间点）；处于（某种状态）；感染上；患上；得（病）,
683,gift,英:/gɪft/ 美:/ɡɪft/,n. 礼物；赠品；天赋 vt. 向…赠送；赋予,
684,girl,英:/gɜːl/ 美:/ɡɝl/,n. 女孩，姑娘；女儿；女朋友,
685,girlfriend,英:/'gɜːlfrend/ 美:/'ɡɝlfrɛnd/,n. 女朋友 女情人 女伴,
